session_id,user_id,date,time,swipe_duration,swipe_speed,touch_pressure,touch_area,typing_speed,keystroke_dwell_time,device_orientation,device_motion_x/y/z,session_duration,hand_used,is_fraud
SESS770487,USR32768,2024-02-11,16:35:29,780.3532317523568,2.0288140493594664,0.3736408184666985,52.46867315426008,7.434983954404719,91.56687767415347,Portrait,-9.76075700596552,3623.5756973990297,Left,0
SESS216739,USR33081,2024-01-01,19:32:25,1903.8928974993364,2.4198347309376054,0.3329120962314033,75.94094338869645,2.25286395818776,77.33917831460903,Portrait,-7.781519217873059,3420.324692486442,Left,0
SESS126225,USR41005,2024-12-01,13:37:46,1477.3881865322398,4.287282226690683,0.17615391250286,58.45334416235165,3.793077096513919,321.88637783464884,Landscape,3.984038584918883,2177.6895310525824,Left,0
SESS877572,USR87662,2024-01-21,17:57:52,1217.3840441842217,1.7660214916934718,0.6072666701014879,12.913745395620657,6.8011660501492734,484.75234512173967,Portrait,-8.72657333868423,3889.380780130198,Left,0
SESS388389,USR51681,2024-07-28,05:05:37,354.2363488627512,4.361283455579639,0.4766241605086289,22.630122494437764,5.079848772982559,276.2245890296258,Landscape,7.319261296859803,1792.172197662096,Left,0
SESS356787,USR57026,2025-06-24,12:12:06,354.1893146555952,0.5318587117857884,0.8657009923240037,25.83617748293732,7.516424867031491,73.18185167268732,Portrait,-3.7734744516013463,1882.8505018622,Right,0
SESS334053,USR87537,2024-12-12,17:35:46,163.26304372798893,3.9063123423222903,0.0321095804820582,29.497104096260266,9.631475061617166,149.54839523485526,Portrait,-8.226670591271507,5453.476887164825,Left,0
SESS246316,USR13697,2023-05-14,04:34:10,1739.0434842611237,4.2529834019682085,0.6438679275551263,58.7133222352979,1.6071935332943763,160.15680788709682,Portrait,5.195147563361308,2469.6275681429024,Left,0
SESS872246,USR56095,2023-01-17,00:45:59,1222.1742728992572,0.99090649890296,0.7629488785115611,52.87674908341238,7.240893305781578,202.03570811162749,Landscape,0.4885446890604754,374.8206467969098,Left,0
SESS207473,USR84403,2024-12-29,09:10:24,1430.7415267022886,2.208698008623782,0.759486569188307,24.300203644599847,2.688269478505088,69.62152261379569,Landscape,-3.867199352414048,2477.758072014387,Right,0
SESS809570,USR83873,2023-07-26,22:14:23,90.13976387681475,0.9109488958519124,0.8860739670955251,11.417710128290272,4.437528910371908,457.2017152240623,Portrait,-1.8780331666146408,4599.527035600323,Left,0
SESS876646,USR28625,2024-05-17,03:29:00,1941.3242117158889,3.562360232071667,0.7290337428294941,21.286059425098216,0.8121958950538284,282.00377512467287,Portrait,-9.571752087903482,5861.626296143334,Left,1
SESS671858,USR83807,2024-09-09,13:54:50,1673.2631495608225,2.723204063502118,0.9278100616476964,98.51622469876732,1.79112013178064,351.91885682934907,Portrait,3.2539707507885787,6926.13442261804,Left,0
SESS191161,USR34672,2023-11-26,16:02:52,464.0612658226385,3.213084398870773,0.3326565998208914,49.51196023018986,3.537884245964547,80.22777660275403,Portrait,-2.68452622073111,5374.055932512451,Left,0
SESS719176,USR74517,2024-08-18,17:44:48,404.5586860538462,1.0627861380854349,0.5032094167515431,87.39782294670069,3.748865150235857,74.35196051164223,Portrait,4.280751394562595,3090.587329754141,Right,0
SESS542417,USR81057,2024-10-19,13:25:49,407.638794214196,1.1375547240568558,0.0140796632828906,85.63148433354012,9.04605955638991,313.9104974182463,Portrait,2.563422919050943,2157.16321387967,Right,0
SESS133326,USR50508,2025-07-16,17:04:42,643.2723737710986,0.3033368949985412,0.0069575873032912,53.594357958973,7.547222638031894,449.2832047268936,Portrait,3.025083718194759,937.6877792795492,Left,0
SESS131244,USR33010,2024-02-03,00:46:57,1073.275041682864,1.678130922459076,0.2401266204515199,72.13533230375164,9.73573819777689,287.81690043179617,Landscape,5.857854220088647,4521.203895839793,Right,0
SESS198246,USR74282,2023-04-24,11:42:39,892.2927863521257,2.842748840535008,0.1008071971390852,23.311440989207668,6.191179348184785,445.01862765653215,Landscape,2.6231615675250204,3673.6104450143007,Right,0
SESS329258,USR14975,2023-05-29,00:16:27,617.8968233861817,4.303881078586911,0.2602113679357536,70.39768696805629,2.796280454867521,414.9460728748577,Portrait,-1.6254814151621506,4881.062410815596,Right,0
